id	category	utterance	plan
sendMailToTheTeamWithBody	p0	Email my team saying, I will be in the office at noon today.	"createEmail(messageWithTo(me.communicationTeam) and messageBodyIs(""I will be in the office at noon today""))"
composeEmailForEventAttendees	p0	Email people who are invited to tomorrow's standup	"createEmail(messageWithTo(theEvent(queryAt(tomorrow) and called(""standup"")).attendees.all))"
composeEmailForAttendeesWithMessage	p0	What do I have with Jesse and Kelly?	"findEvents(with_(""Jesse"") and with_(""Kelly""))"
composeEmailForAttendeesWithMessage	p0	Okay, email everyone on that event and let them know I have had to change the starting time to 4:30 pm	"createEmail(messageWithTo(theEvent(that[Event]).attendees.all) and messageBodyIs(""I have had to change the starting time to 4:30 pm""))"
composeEmailForEventWithSubjectAttendees	p0	Send an email to the attendees of event titled standup saying I will be late	"createEmail(messageWithTo(theEvent(called(""standup"")).attendees.all) and messageBodyIs(""I will be late""))"
composeEmailForEventWithSubject	p0	Send an email to event titled Standup saying I will be late	"createEmail(messageIsToEvent(theEvent(called(""Standup""))) and messageBodyIs(""I will be late""))"
composeEmailForNextEvent	p0	What is my next event?	theEvent(next[Event])
composeEmailForNextEvent	p0	Start an email to attendees of that event	createEmail(messageWithTo(theEvent(that[Event]).attendees.all))
findFile-1	p0	Search for SM annotation doc	"findFile(withTitle(""SM annotation"") and withType(""doc""))"
findFile-2	p0	Search for my shiproom excel sheet	"findFile(withTitle(""shiproom"") and withType(""excel""))"
findFile-3	p0	Find my deck	"findFile(withType(""deck""))"
findFile-4	p0	Find my powerpoint	"findFile(withType(""powerpoint""))"
findFile-5	p0	Search for Q4 planning powerpoint	"findFile(withTitle(""Q4 planning"") and withType(""powerpoint""))"
findPerson	p0	Who is David?	"thePerson(""David"")"
findPersonEmptyTitle	p0	Who is Damon?	"thePerson(""Damon"")"
findPersonNotFound	p0	Who is Bryan Stark?	"thePerson(""Bryan Stark"")"
findPersonNoTitle	p0	Who is Jennifer?	"thePerson(""Jennifer"")"
findPersonSelf	p0	Who am I?	me
sayPersonEmailAddress	p0	What's Abby's email address?	"thePerson(""Abby"").emailAddress"
sayPersonCompanyName	p0	What company does Damon work for?	"thePerson(""Damon"").companyName"
sayPersonNoCompanyName	p0	Where does David work?	"thePerson(""David"").companyName"
sayPersonJobTitle	p0	What is Kim's job title?	"thePerson(""Kim"").jobTitle"
sayPersonNoJobTitle	p0	What is Damon's job title?	"thePerson(""Damon"").jobTitle"
sayPersonOfficeLocation	p0	What is Jordan's office location?	"thePerson(""Jordan"").officeLocation"
sayPersonEmptyOfficeLocation	p0	Where is Kim's office	"thePerson(""Kim"").officeLocation"
sayPersonPhone	p0	What is Damon's phone number?	"thePerson(""Damon"").phoneNumber"
sayPersonNonePhone	p0	What is Abby's phone number?	"thePerson(""Abby"").phoneNumber"
sayPersonPhoneSelf	p0	What is my contact number?	me.phoneNumber
PersonTeam1	p0	What team is Jesse on?	"thePerson(""Jesse"").team"
PersonTeam2	p0	Who's on Jesse's team?	"thePerson(""Jesse"").team"
PersonDirectReports	p0	Who are Jesse's direct reports?	"thePerson(""Jesse"").directReports"
personEmailAddressFallbackTM	p0	What is Damon's email address?	"thePerson(""Damon"").emailAddress"
personCompanyNameFallbackTM	p0	Where does Damon work?	"thePerson(""Damon"").companyName"
personTimeZone	p0	What time zone is Damon in?	"thePerson(""Damon"").timeZone"
personAge	p0	What is Abby's age?	"thePerson(""Abby"").age"
sayPersonCompanyNameSelf	p0	What company do I work for?	me.companyName
sayPersonOfficeLocationSelf	p0	What is my office location?	me.officeLocation
sayPersonManager	p0	Who is Damon's manager?	"thePerson(""Damon"").manager"
sayPersonManagerNotFound	p0	Who is Kim's manager?	"thePerson(""Kim"").manager"
sayMyManager	p0	Who is my manager?	me.manager
1 Create with start date time and duration Eyes-off	p0	Schedule a 1 hour meeting starting today at 2 pm	createEvent(lastsFor(1.hours) and startsAt(2.pm on today))
2 Create with start date time and duration Eyes-off	p0	Create a 15 minutes meeting starting tomorrow at 11 am	createEvent(lastsFor(15.minutes) and startsAt(11.am on tomorrow))
3 Create with start date time and duration Eyes-off	p0	Make a 4 hour event starting next Monday at 11 am	createEvent(lastsFor(4.hours) and startsAt(11.am on (next[Date] /& Monday)))
queryBySubject0EyesOff	p0	What's on my calendar by the name of Sales Call?	"findEvents(called(""Sales Call""))"
queryBySubject1EyesOff	p0	Tell me about haircut appointments.	"findEvents(called(""haircut appointments""))"
queryBySubjectEyesOff	p0	What do I have called Planning?	"findEvents(called(""Planning""))"
queryBySubjectEyesOff	p0	What's on my schedule titled focus time?	"findEvents(called(""focus time""))"
queryBySubjectEyesOff	p0	Show me appointments with subject sync.	"findEvents(called(""sync""))"
queryBySubjectEyesOff	p0	What's on my calendar called peer review?	"findEvents(called(""peer review""))"
queryBySubjectEyesOff	p0	Show me meetings called Sync.	"findEvents(called(""Sync""))"
queryBySubjectEyesOff	p0	What is on my calendar called Coffee Chat?	"findEvents(called(""Coffee Chat""))"
queryBySubjectEyesOff	p0	What do I have named Vacation?	"findEvents(called(""Vacation""))"
queryBySubjectEyesOff	p0	Bring up events called Doctor Appointments	"findEvents(called(""Doctor Appointments""))"
queryBySubjectEyesOff	p0	Find events titled Team Social.	"findEvents(called(""Team Social""))"
queryBySubjectEyesOff	p0	What do I have with subject Team Meeting?	"findEvents(called(""Team Meeting""))"
	p0	Schedule a meeting with Julia today at 2 pm called let's meet!	"createEvent((with_(""Julia"") and createAt(2.pm on today)) and called(""let's meet!""))"
	p0	"Add a meeting called ""sync"" with Jordan and Izabela tomorrow at 11 am"	"createEvent((called(""sync"") and with_(""Jordan"")) and with_(""Izabela"") and createAt(11.am on tomorrow))"
	p0	Schedule a coffee event with Kelly, Kim and John on April 11th at 1 am	"createEvent(((called(""coffee"") and with_(""Kelly"")) and with_(""Kim"")) and with_(""John"") and createAt(1.am on (April /& 11)))"
	p0	Schedule brainstorm with Bryan, Damon and Jennifer on November 12th 2017 at 9 am	"createEvent(((called(""brainstorm"") and with_(""Bryan"")) and with_(""Damon"") and with_(""Jennifer"")) and createAt(9.am on ((November /& 12) /& yearIs(2017))))"
	p0	Create a brunch with Jesse, Kim and Abby on 10/2/2017 at 10 am	"createEvent(((called(""brunch"") and with_(""Jesse"")) and with_(""Kim"")) and with_(""Abby"") and createAt(10.am on ((month(10) /& 2) /& yearIs(2017))))"
	p0	Make a coffee talk with Kelly, Damon and John next monday at 8 am	"createEvent(((called(""coffee talk"") and with_(""Kelly"")) and with_(""Damon"") and with_(""John"")) and createAt(8.am on (next[Date] /& Monday)))"
	p0	Schedule a parent teacher conference with Kim, Damon and Kelly last Friday at 9 am	"createEvent(((called(""parent teacher conference"") and with_(""Kim"")) and with_(""Damon"") and with_(""Kelly"")) and createAt(9.am on (last[Date] /& Friday)))"
	p0	Schedule a party with Kim, David and Dan this Memorial Day at 5 pm	"createEvent(((called(""party"") and with_(""Kim"")) and with_(""David"")) and with_(""Dan"") and createAt(5.pm on (`this`[Date] /& Holiday.MemorialDay)))"
	p0	Book a meeting with Kim today.	"createEvent(createAt(today) and with_(""Kim""))"
	p0	Create a meeting with David at 5pm today 	"createEvent(with_(""David"") and createAt(5.pm on today))"
	p0	Schedule a walk at Vasona Park at 5pm tomorrow	"createEvent(called(""walk"") and locatedAt(locationNamed(""Vasona Park"")) and createAt(5.pm on tomorrow))"
createWithDateWithAttendee0EyesOff	p0	Make an event on Friday with David	"createEvent(createAt(Friday) and with_(""David""))"
createApptWithTimeAndSubject	p0	Block an hour for Kayla's homework at 4	"createEvent(lastsFor(1.hours) and called(""Kayla's homework"") and createAt(4.oclock))"
createWithDateWithAttendee1EyesOff	p0	Make a meeting Tuesday morning with Abby	"createEvent(createAt(morning on Tuesday) and with_(""Abby""))"
	p0	Make me a meeting tomorrow with Abby and Kelly and make it 15 mins	"createEvent((createAt(tomorrow) and with_(""Abby"")) and with_(""Kelly"") and lastsFor(15.minutes))"
	p0	Make me a 60 minute long walk for this morning	"createEvent((lastsFor(60.minutes) and called(""walk"")) and createAt(morning on `this`[Date]))"
createWithDateWithDuration0EyesOff	p0	Make an event for tomorrow for half an hour	createEvent(createAt(tomorrow) and lastsFor((1 / 2).hours))
createWithDateTimeWithDuration0EyesOff	p0	Make an event for tomorrow at 3 pm for 2 hours	createEvent(createAt(3.pm on tomorrow) and lastsFor(2.hours))
createWithDateTimeWithAttendee0EyesOff	p0	Make a meeting on January 21 at 1:30 pm with Abby	"createEvent(createAt((1 :: 30).pm on (January /& 21)) and with_(""Abby""))"
createWithDateTimeWith3Attendees0EyesOff	p0	Make an event for next Monday at 11 am with Abby, Jesse, and Kim	"createEvent((createAt(11.am on (next[Date] /& Monday)) and with_(""Abby"") and with_(""Jesse"")) and with_(""Kim""))"
createWithDateTimeWithAttendee1EyesOff	p0	Make an event for next Tuesday at 10 am with Jesse	"createEvent(createAt(10.am on (next[Date] /& Tuesday)) and with_(""Jesse""))"
createWithSubjectWithAttendeeWithDateEyesOff	p0	Create a meeting called sync with David tomorrow	"createEvent((called(""sync"") and with_(""David"")) and createAt(tomorrow))"
ScheduleTeamSync2	p0	Schedule a Team Sync tomorrow at noon	"createEvent(called(""Team Sync"") and createAt(noon on tomorrow))"
ScheduleTeamSync4	p0	Schedule a Team Sync on May 8 at noon	"createEvent(called(""Team Sync"") and createAt(noon on (May /& 8)))"
	p0	Make an event for 4 pm with Abby	"createEvent(createAt(4.pm) and with_(""Abby""))"
	p0	Schedule an event that starts at 2 pm tomorrow with David for 15 minutes	"createEvent((startsAt(2.pm on tomorrow) and with_(""David"")) and lastsFor(15.minutes))"
	p0	Make me a meeting called 'call with Jesse and David'. It needs to be a Teams call	"createEvent(isTeams and called(""call with Jesse and David""))"
	p0	Make an event at 4 pm with Abby and Bryan	"createEvent((createAt(4.pm) and with_(""Abby"")) and with_(""Bryan""))"
	p0	Make an event this week with Jenn.	"createEvent(with_(""Jenn"") and createAt(`this`[Interval[Date]] and isWeek))"
	p0	I need to schedule a planning meeting tomorrow at 2 with Abby and Bryan	"createEvent((called(""planning meeting"") and createAt(2.oclock on tomorrow)) and with_(""Abby"") and with_(""Bryan""))"
createLaterTimeEyesOff	p0	Schedule a Team Sync for the late afternoon.	"createEvent(called(""Team Sync"") and createAt(late(afternoon)))"
createNoAMPMEyesOff	p0	Can you make me a meeting on Thursday at 3	createEvent(createAt(3.oclock on Thursday))
testingWeekTOD	p0	Create a meeting with Jenn for next week sometime in afternoon	"createEvent(with_(""Jenn"") and createAt(afternoon on (next[Interval[Date]] and isWeek)))"
createTeamsMeetingOneAttendeeEyesOff	p0	Create a Teams meeting with Jen	"createEvent(isTeams and with_(""Jen""))"
createTeamsMeetingEyesOff	p0	Create a Teams meeting with David and Jen	"createEvent((isTeams and with_(""David"")) and with_(""Jen""))"
createAppointmentEyesOffWithLocationAndDuration	p0	Schedule Coffee for an hour this weekend at Starbucks	"createEvent(((called(""Coffee"") and lastsFor(1.hours) and createAt(`this`[Interval[Date]] and isWeekend)) and locatedAt(locationNamed(""Starbucks""))))"
	p0	Schedule a meeting called brainstorm	"createEvent(called(""brainstorm""))"
	p0	Make an event called coffee talk	"createEvent(called(""coffee talk""))"
MakePlanningEvent2	p0	Make a planning event	"createEvent(called(""planning""))"
	p0	Schedule a Birthday Dinner	"createEvent(called(""Birthday Dinner""))"
	p0	Create a parent teacher conference event	"createEvent(called(""parent teacher conference""))"
createConfirmCriticalEyesOff	p0	Schedule jogging	"createEvent(called(""jogging""))"
eventThisTimeOfDay	p0	What do I have this morning?	findEvents(queryAt(morning on `this`[Date]))
eventThisTimeOfDay	p0	What's going on this afternoon?	findEvents(queryAt(afternoon on `this`[Date]))
eventThisTimeOfDay	p0	What do I have this afternoon?	findEvents(queryAt(afternoon on `this`[Date]))
eventThisTimeOfDay	p0	What do I have today during the morning?	findEvents(queryAt(morning on today))
eventThisTimeOfDay	p0	What do I have today during the evening?	findEvents(queryAt(evening on today))
eventThisTimeOfDay	p0	What do I have tomorrow evening?	findEvents(queryAt(evening on tomorrow))
eventThisTimeOfDay	p0	What do I have tomorrow night?	findEvents(queryAt(night on tomorrow))
eventByDayAndTimeOfDay	p0	What do I have Saturday morning?	findEvents(queryAt(morning on Saturday))
eventByDayAndTimeOfDay	p0	What do I have Wednesday afternoon?	findEvents(queryAt(afternoon on Wednesday))
eventByDayAndTimeOfDay	p0	What do I have on the morning of July 1st?	findEvents(queryAt(morning on (July /& 1)))
eventByDayAndTimeOfDay	p0	What do I have December 26 during the evening?	findEvents(queryAt(evening on (December /& 26)))
eventByDayAndTimeOfDay	p0	What do I have at night on March 27th?	findEvents(queryAt(night on (March /& 27)))
1 Query by dayofweek and date	p0	What do I have on Tuesday?	findEvents(queryAt(Tuesday))
1 Query by dayofweek and date	p0	What do I have on December 17th?	findEvents(queryAt(December /& 17))
2 Query by date and yesterday	p0	What do I have on March 21st?	findEvents(queryAt(March /& 21))
2 Query by date and yesterday	p0	What did I have yesterday?	findEvents(queryAt(yesterday))
3 Query by date today and yesterday	p0	Find appointments from yesterday.	findEvents(queryAt(yesterday))
3 Query by date today and yesterday	p0	Find events today.	findEvents(queryAt(today))
noEventsThisMonth	p0	Do I have anything this month?	findEvents(queryAt(`this`[Interval[Date]] and isMonth)).nonEmpty
noEventsNextMonth	p0	Do I have anything next month?	findEvents(queryAt(next[Interval[Date]] and isMonth)).nonEmpty
noEventsSpecificMonth	p0	Do I have anything in September?	findEvents(queryAt(monthOf(September))).nonEmpty
QueryOnDateWithMonthWeek	p0	What do I have in the week of 9th August?	findEvents(queryAt(theDate(August /& 9).weekInterval))
QueryOnDateWithMonthWeek	p0	What do I have in the week of 15th August?	findEvents(queryAt(theDate(August /& 15).weekInterval))
QueryOnDateWeek	p0	What do I have in the week of 20th?	findEvents(queryAt(theDate(20).weekInterval))
OneEventOnHolidayWeek	p0	What do I have in the week of Halloween?	findEvents(queryAt(theDate(Holiday.Halloween).weekInterval))
QueryOnHolidayWeek	p0	What do I have in the week of Christmas?	findEvents(queryAt(theDate(Holiday.Christmas).weekInterval))
Query on that week eyes off	p0	What do I have tonight?	findEvents(queryAt(tonight))
Query on that week eyes off	p0	What do I have that week?	findEvents(queryAt(that[Interval[Date]] and isWeek))
QueryDateTimeEyesOff	p0	What do I have starting at 6 pm today?	findEvents(startsAt(6.pm on today))
BeforeAndRightBeforeNoEvent	p0	What do I have before coffee	"findEvents(before(theEvent(called(""coffee""))))"
BeforeAndRightBeforeNoEvent	p0	What do I have tomorrow right before walk	"findEvents(queryAt(tomorrow) and rightBefore(theEvent(called(""walk""))))"
AfterAndRightAfterNoEvent	p0	What do I have after walk	"findEvents(after(theEvent(called(""walk""))))"
AfterAndRightAfterNoEvent	p0	What do I have right after yoga tomorrow	"findEvents(rightAfter(theEvent(called(""yoga""))) and queryAt(tomorrow))"
BeforeAndRightBeforeSingleEvent	p0	What do I have right before walk	"findEvents(rightBefore(theEvent(called(""walk""))))"
AfterAndRightAfterSingleEvent	p0	What do I have right after yoga	"findEvents(rightAfter(theEvent(called(""yoga""))))"
AfterAndRightAfterSingleEvent	p0	What do I have tomorrow after yoga.	"findEvents(queryAt(tomorrow) and after(theEvent(called(""yoga""))))"
BeforeAndRightBeforeMultipleEvents	p0	What do I have before walk	"findEvents(before(theEvent(called(""walk""))))"
AfterAndRightAfterMultipleEvents	p0	What do I have after coffee	"findEvents(after(theEvent(called(""coffee""))))"
AfterAndRightAfterMultipleEvents	p0	What do I have right after Design jam	"findEvents(rightAfter(theEvent(called(""Design jam""))))"
Query at date	p0	What is my schedule like tomorrow?	findEvents(queryAt(tomorrow))
Query at date	p0	What do I have today?	findEvents(queryAt(today))
Query at date and time interval	p0	What do I have tomorrow morning?	findEvents(queryAt(morning on tomorrow))
Query at date and time interval	p0	What do I have tomorrow in the afternoon?	findEvents(queryAt(afternoon on tomorrow))
Query at date and time interval	p0	What do I have tomorrow between 9 and 11 am?	findEvents(queryAt(timeInterval(9.oclock, 11.am) on tomorrow))
Query at date and time interval	p0	What do I have tomorrow between 10 am and 1 pm?	findEvents(queryAt(timeInterval(10.am, 1.pm) on tomorrow))
Query at date and time interval	p0	What do I have tomorrow between 9 am and 3 pm?	findEvents(queryAt(timeInterval(9.am, 3.pm) on tomorrow))
Query at date time	p0	What do I have at 6 pm tomorrow?	findEvents(queryAt(6.pm on tomorrow))
Query at date time	p0	What do I have at 2 pm tomorrow?	findEvents(queryAt(2.pm on tomorrow))
Query at date time	p0	What do I have at 4 pm tomorrow?	findEvents(queryAt(4.pm on tomorrow))
nextWithOneUpcomigEventOnly	p0	What do I have next?	theEvent(next[Event])
specificTimeWithEventQueryEyesOff	p0	What is my event at 4 pm?	theEvent(queryAt(4.pm))
multipleEventsRightNowEyesOff	p0	What do I have right now?	findEvents(queryAt(now))
noEventThisWeek	p0	What events do I have this week?	findEvents(queryAt(`this`[Interval[Date]] and isWeek))
singleEventThisWeekend	p0	What events do I have this weekend?	findEvents(queryAt(`this`[Interval[Date]] and isWeekend))
singleEventNextWeek	p0	What do I have next week?	findEvents(queryAt(next[Interval[Date]] and isWeek))
Query at date interval	p0	What do I have between today and tomorrow?	findEvents(queryAt(dateInterval(today, tomorrow)))
Query at date interval	p0	What do I have from July 8th to July 12th?	findEvents(queryAt(dateInterval(July /& 8, July /& 12)))
Query at time interval eyesOff	p0	What do I have between 11 am and 3:30 pm tomorrow?	findEvents(queryAt(timeInterval(11.am, (3::30).pm) on tomorrow))
NoEventInTimeOfDayWithoutDate	p0	What do I have in the evening?	findEvents(queryAt(evening))
1 Create with date on eyes off	p0	Create a meeting on 10th of February	createEvent(createAt(10 /& February))
createWithUnknownAttendeeEyesOff	p0	Create a meeting with Jane	"createEvent(with_(""Jane""))"
createWithAttendee1EyesOff	p0	Create a meeting with David and Jen	"createEvent(with_(""David"") and with_(""Jen""))"
createWithAttendee2EyesOff	p0	Create an event with Bryan, Abby and Jennifer	"createEvent((with_(""Bryan"") and with_(""Abby"")) and with_(""Jennifer""))"
queryTwoAttendeesCriticalEyesOff	p0	Find meetings that include John and Jennifer.	"findEvents(with_(""John"") and with_(""Jennifer""))"
twoEventWithAttendeeEyesOff	p0	Show me appointments with John.	"findEvents(with_(""John""))"
eventWithTwoAttendeesEyesOff	p0	Search for events with Abby and Damon.	"findEvents(with_(""Abby"") and with_(""Damon""))"
eventWithTwoAttendeesAndEyesOff	p0	What is on my calendar that includes Jesse and David?	"findEvents(with_(""Jesse"") and with_(""David""))"
eventWithMultipleAttendeesEyesOff	p0	Find events with Kelly, Damon, and Abby.	"findEvents((with_(""Kelly"") and with_(""Damon"")) and with_(""Abby""))"
multipleEventsMultipleAttendeesEyesOff	p0	Show me appointments with John, Jesse, and Jennifer.	"findEvents((with_(""John"") and with_(""Jesse"")) and with_(""Jennifer""))"
oneTeamsEventWithAttendeeEyesOff	p0	Search for meetings with Kelly.	"findEvents(with_(""Kelly""))"
oneEventWithMultipleAttendeesEyesOff	p0	What's on my calendar that includes Kelly, Abby, and Damon?	"findEvents((with_(""Kelly"") and with_(""Abby"")) and with_(""Damon""))"
multipleEventsWithOrganizerEyesOff	p0	Can you find the event Damon created?	"theEvent(organizedBy(""Damon""))"
Create on a date in eyes off	p0	Create a meeting on Monday	createEvent(createAt(Monday))
Create with duration in eyes off	p0	Schedule a 20 minute meeting	createEvent(lastsFor(20.minutes))
Create within interval in eyes off	p0	Schedule a meeting tomorrow morning	createEvent(createAt(morning on tomorrow))
Create with time in eyes off	p0	Schedule a meeting at 9 am	createEvent(createAt(9.am))
	p0	I need a quick sync in 10 minutes	"createEvent(called(""quick sync"") and createAt(now + 10.minutes))"
createMeetingNextWeek	p0	Book some time for jogging with Jenn for next week for 2 hours	"createEvent(called(""jogging"") and with_(""Jenn"") and createAt(next[Interval[Date]] and isWeek) and lastsFor(2.hours))"
createTonight	p0	Create an event tonight.	createEvent(createAt(tonight))
	p0	Schedule a meeting today at 3 pm called Let's Meet!	"createEvent(createAt(3.pm on today) and called(""Let's Meet!""))"
	p0	Schedule a meeting tomorrow at 10 am called standup	"createEvent(createAt(10.am on tomorrow) and called(""standup""))"
	p0	Make an event yesterday at 11 am called retrospective	"createEvent(createAt(11.am on yesterday) and called(""retrospective""))"
	p0	Create an event on August 11th at 9 pm called late dinner	"createEvent(createAt(9.pm on (August /& 11)) and called(""late dinner""))"
	p0	Create a meeting on December 25 2017 at 5 pm named Christmas party	"createEvent(createAt(5.pm on ((December /& 25) /& yearIs(2017))) and called(""Christmas party""))"
	p0	Schedule a coffee date on 3/4/2018 at 11 am	"createEvent(called(""coffee date"") and createAt(11.am on ((month(3) /& 4) /& yearIs(2018))))"
	p0	Make a parent teacher conference next Wednesday at 4 pm	"createEvent(called(""parent teacher conference"") and createAt(4.pm on (next[Date] /& Wednesday)))"
	p0	Create a coffee talk last Thursday at 10 am	"createEvent(called(""coffee talk"") and createAt(10.am on (last[Date] /& Thursday)))"
	p0	Schedule a new years party this new years eve at 7 pm	"createEvent(called(""new years party"") and createAt(7.pm on (`this`[Date] /& Holiday.NewYearsEve)))"
Create - find another Time	p0	Schedule a call this afternoon	"createEvent(called(""call"") and createAt(afternoon on `this`[Date]))"
clobberLaterRelative - multiple conditions	p0	Schedule a meeting with Jesse	"createEvent(with_(""Jesse""))"
Create - move earlier	p0	Schedule a meeting called coffee this afternoon	"createEvent(called(""coffee"") and createAt(afternoon on `this`[Date]))"
1 Create with date time Eyes-off	p0	Schedule a meeting today at 2 pm	createEvent(createAt(2.pm on today))
2 Create with date time in eyes off	p0	Create a meeting tomorrow at 10 am	createEvent(createAt(10.am on tomorrow))
3 Create with date time in eyes off	p0	Make an event yesterday at 9 pm	createEvent(createAt(9.pm on yesterday))
4 Create with date time in eyes off	p0	Make an event on August 1st at 6 am	createEvent(createAt(6.am on (August /& 1)))
5 Create with date time in eyes off	p0	Make an event on September 7th 2017 at 10 pm	createEvent(createAt(10.pm on ((September /& 7) /& yearIs(2017))))
6 Create with date time in eyes off	p0	Make a meeting on 5/23/2018 at 6 pm	createEvent(createAt(6.pm on ((month(5) /& 23) /& yearIs(2018))))
7 Create with date time in eyes off	p0	Make an event next Tuesday at 12 am	createEvent(createAt(12.am on (next[Date] /& Tuesday)))
8 Create with date time in eyes off	p0	Make an event last Monday at 7 am	createEvent(createAt(7.am on (last[Date] /& Monday)))
9 Create with date time in eyes off	p0	Make an event this Thanksgiving at 5 pm	createEvent(createAt(5.pm on (`this`[Date] /& Holiday.Thanksgiving)))
10 Create with date time eyes off	p0	Create an event next Monday at 9 am	createEvent(createAt(9.am on (next[Date] /& Monday)))
createWithTimeEyesOff	p0	Create an event for 4 pm	createEvent(createAt(4.pm))
createWithFutureTimeEyesOff	p0	Create an event for 3 pm	createEvent(createAt(3.pm))
sayPersonOfficeLocationEyesOff	p0	Where is Damon's office	"thePerson(""Damon"").officeLocation"
sayPersonNoneOfficeLocation	p0	Where is Izabela's office	"thePerson(""Izabela"").officeLocation"
sayPersonEmptyPhoneEyesOff	p0	What is Jesse's phone number?	"thePerson(""Jesse"").phoneNumber"
sendMailWithBodyEyesOff	p0	Send an email saying I will be late.	"createEmail(messageBodyIs(""I will be late""))"
sendMailWithBodyEyesOff2	p0	Start an email saying I need to grab the documents from David.	"createEmail(messageBodyIs(""I need to grab the documents from David""))"
sendMailWithRecipientEmailEyesOff	p0	Send an email to dlax@thenextunicorn.com.	"createEmail(messageWithTo(""dlax@thenextunicorn.com""))"
sendMailToManager	p0	Start an email with my manager.	createEmail(messageWithTo(me.manager))
createApptAtLocation	p0	Schedule an appointment at the Ruby slipper	"createEvent(locatedAt(locationNamed(""Ruby slipper"")))"
createMultiDay	p0	Create an event called vacation from August 9 to August 11	"createEvent((called(""vacation"")) and blocking(dateInterval((August /& 9), (August /& 11))))"
createBlockingDateInterval	p0	Block off August 9 to August 11.	createEvent(blocking(dateInterval((August /& 9), (August /& 11))))
createEventAfterDate	p0	Schedule a meeting after tomorrow.	createEvent(createAt(after(tomorrow)))
createEventBeforeDate	p0	Schedule a meeting before August 9.	createEvent(createAt(before(August /& 9)))
Create with holiday next year	p0	Create a meeting on Halloween of next year.	createEvent(createAt(Holiday.Halloween /& (next and isYear)))
Create nth DOW	p0	Create a meeting on the third Monday of February	createEvent(createAt(nth[Date](3) /& Monday /& (monthOf(February))))
Create MM-DD	p0	Create a meeting on 5/30	createEvent(createAt(month(5) /& 30))
Create starts at MM-DD	p0	Create a meeting starting at 5/30	createEvent(startsAt(month(5) /& 30))
Create ends at MM-DD	p0	Create a meeting ending at 5/30	createEvent(endsAt(month(5) /& 30))
Create DOW Day	p0	Create a meeting on Wednesday the 23rd	createEvent(createAt(Wednesday /& 23))
Create Year	p0	Schedule an event in the year 2023.	createEvent(createAt(yearIs(2023)))
Create this DOW	p0	Schedule a meeting this friday.	createEvent(createAt(`this`[Date] /& Friday))
	p0	Schedule a meeting with Julia today at 2 pm called let's meet.	"createEvent((with_(""Julia"") and createAt(2.pm on today)) and called(""let's meet""))"
createTitleDay	p0	Add lunch for tomorrow	"createEvent(called(""lunch"") and createAt(tomorrow))"
	p0	Schedule a brainstorm meeting with Bryan, Damon and Jennifer on November 12th 2017 at 9 am	"createEvent(((called(""brainstorm meeting"") and with_(""Bryan"")) and with_(""Damon"") and with_(""Jennifer"")) and createAt(9.am on ((November /& 12) /& yearIs(2017))))"
	p0	Create a meeting with David at 5pm today	"createEvent(with_(""David"") and createAt(5.pm on today))"
	p0	Schedule a walk at vasona park at 5pm tomorrow	"createEvent(called(""walk"") and locatedAt(locationNamed(""vasona park"")) and createAt(5.pm on tomorrow))"
createWithAttendeeAndTimeInDay	p0	Find time with Abby in the afternoon	"createEvent(with_(""Abby"") and createAt(afternoon))"
createApptWithDurationWithSubject	p0	Block 20 minutes to review presentation notes	"createEvent(lastsFor(20.minutes) and called(""review presentation notes""))"
createApptWithSubjectAndExactDate	p0	Schedule tax prep for February 10th	"createEvent(called(""tax prep"") and createAt(10 /& February))"
createWithMonthTOD	p0	Create an event next month in the morning.	createEvent(createAt(morning on (next[Interval[Date]] and isMonth)))
createWithAttendeesAndMeAtDateTime	p0	Create an event Friday at 2 pm with John, Dan, and me	"createEvent((createAt(2.pm on Friday) and with_(""John"") and with_(""Dan"")) and with_(me))"
createAttendeeDuration	p0	Set up an hour with Abby	"createEvent(lastsFor(1.hours) and with_(""Abby""))"
createWithDurationAndTime	p0	Create an event for 2 hours this afternoon	createEvent(lastsFor(2.hours) and createAt(afternoon on `this`[Date]))
Create at midnight	p0	Schedule a meeting at midnight	createEvent(createAt(midnight))
Create at midnight tomorrow	p0	Schedule a meeting tomorrow at midnight	createEvent(createAt(midnight on tomorrow))
createWithFractionalDuration0	p0	Schedule a 1 and 1/2 hour meeting.	createEvent(lastsFor((1 + 1/2).hours))
createEventBeforeQueriedEvent	p0	An hour before Planning add tea break on my calendar.	"createEvent(createAt(theEvent(called(""Planning"")).start - 1.hours) and called(""tea break""))"
Create with holiday next year at time	p0	Create a meeting on Halloween of next year at 8 pm.	createEvent(createAt(8.pm on (Holiday.Halloween /& (next and isYear))))
createEventAfterTimeOnDate	p0	Schedule a meeting after 9 am tomorrow.	createEvent(createAt(after(9.am) on tomorrow))
createEventBeforeTimeOnDate	p0	Schedule a meeting before 2 pm on September 2.	createEvent(createAt(before(2.pm) on September /& 2))
eventFromEmail1	p0	Schedule a meeting with them.	createEvent(with_(them))
eventFromEmail2	p0	Create a meeting with them at 10 am tomorrow.	createEvent(with_(them) and createAt(10.am on tomorrow))
eventFromEmail3 should not take title from context	p0	Create a meeting with them called planning.	"createEvent(with_(them) and called(""planning""))"
eventFromEmail4 should not take title from context	p0	Create a meeting called planning with them.	"createEvent(called(""planning"") and with_(them))"
