id	category	utterance	plan
basicArchiveMail-2	p1	Archive that email.	archiveEmail(messageIdIs(theEmail(that[Email]).id))
multiplePastEventsDurationSince		How long has it been since the Interns meeting?	"durationSince(theEvent((isPast and called(""Interns meeting""))).end)"
oneOnOneWithAttendee	p0	Show my 1:1 with David?	"theEvent(isOneOnOne and with_(""David""))"
multipleOneonOneEventsAttendees		When is my next one on one with Abby?	"theEvent((next[Event] and isOneOnOne) and with_(""Abby"")).start"
sendMailToTheTeamWithBody	p0	Email my team saying, I will be in the office at noon today.	"createEmail(messageWithTo(me.communicationTeam) and messageBodyIs(""I will be in the office at noon today""))"
sendEmailWithSingleRecipientSubjectAndBody	p0	Email David about workshop saying it begins at 8.	"createEmail(messageWithTo(""David"") and messageTitleIs(""workshop"") and messageBodyIs(""it begins at 8""))"
callingPersonOnPhoneOneshot	p1	Call Bryan on phone	"call(callWith(""Bryan"") and channelIs(CallChannel.Phone))"
createWithDateTimeWithDuration0EyesOff	p0	Make an event for tomorrow at 3 pm for 2 hours	createEvent(createAt(3.pm on tomorrow) and lastsFor(2.hours))
Query by date today - clobber tomorrow	p1	What are my meetings today?	findEvents(queryAt(today))
multipleEventsIsCancelled		Is my event called Team meeting cancelled?	"theEvent(called(""Team meeting"")).isCancelled"
Create with holiday next year	p0	Create a meeting on Halloween of next year.	createEvent(createAt(Holiday.Halloween /& (next and isYear)))
salientPeople	p1	Who has accepted the Standup meeting?	"theEvent(called(""Standup meeting"")).attendees.withResponse(ResponseStatusType.accepted)"
minExample2		Which meeting tomorrow has the fewest attendees?	min(findEvents(queryAt(today)), ev => ev.attendees.all.size)
eventResponse7	p2	Tentatively accept this meeting.	respond(theEvent(`this`[Event]), withResponse(ResponseStatusType.tentativelyAccepted))
queryTwoAttendeesCriticalEyesOff	p0	Find meetings that include John and Jennifer.	"findEvents(with_(""John"") and with_(""Jennifer""))"
restOfDayEventsCheck	p0	Do I have any events for the rest of the day?	findEvents(queryAt(restOfToday)).nonEmpty
replyAllAddingRecipientMessage	p1	Reply to everyone on this email including Izabela and say Great to meet everyone	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Izabela"") and messageBodyIs(""Great to meet everyone""))"
onlineMeetingTollFreePhone	p2	What is the toll free number for Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.tollFreeNumbers"
setStatusMulti	p2	Set my status	setStatus0
onlineMeetingJoinUrl	p2	What is the URL to join Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.joinUrl"
setStatusAvailableSingle	p2	Set my status to available	setStatus(setStatusTo(UserStatus.Available))
salientEventStart	p2	When does this start?	theEvent(`this`[Event]).start
findEmail- From Person from Date Interval with Attachments	p0	Find emails from Lisa last week with attachments	"findEmails(messageWithSender(""Lisa"") and messageSentAt(last[Interval[Date]] and isWeek) and messageHasAttachments(true))"
eventWithSubjectAndAttendee	p0	Search for meetings called Planning with Kelly tomorrow.	"findEvents((called(""Planning"") and with_(""Kelly"")) and queryAt(tomorrow))"
findEmails-0	p0	Find my emails	findEmails0
9 Create with date time in eyes off	p0	Make an event this Thanksgiving at 5 pm	createEvent(createAt(5.pm on (`this`[Date] /& Holiday.Thanksgiving)))
1 Create with date on eyes off	p0	Create a meeting on 10th of February	createEvent(createAt(10 /& February))
sayPersonManagerNotFound	p0	Who is Kim's manager?	"thePerson(""Kim"").manager"
salientEventStart	p2	What's my first event tomorrow?	theEvent(nth[Event](1) and queryAt(tomorrow))
d31annotator2_1	decomp	Get the start time from event s1	s1.start.local.time
6 Create with date time in eyes off	p0	Make a meeting on 5/23/2018 at 6 pm	createEvent(createAt(6.pm on ((month(5) /& 23) /& yearIs(2018))))
callingPersonMobileOneshot	p1	Call Crystal on his mobile	"call(callWithType(""Crystal"", ContactType.Mobile))"
findEmail-0	p0	Find my email	theEmail0
queryBySubject2	p0	What's on my calendar called Squad meeting?	"findEvents(called(""Squad meeting""))"
Create ending at date time	p3	Schedule a meeting that ends at 3 pm tomorrow	createEvent(endsAt(3.pm on tomorrow))
queryBySubject1	p0	Show me events for Bachelor Viewing Party.	"findEvents(called(""Bachelor Viewing Party""))"
sayPersonPhoneSelf	p0	What is my contact number?	me.phoneNumber
Create - change to before another event	p0	Schedule a run after my coffee meeting	"createEvent(called(""run"") and after(theEvent(called(""coffee meeting""))))"
callingNumbersOneshot	p1	Call 55534567 and 55534566	"call(callWithNumber(""55534567"") and callWithNumber(""55534566""))"
setStatusBeRightBackWithMessage	p2	Set my status to be right back and say I will be back	"setStatus(setStatusToWithMessage(UserStatus.BeRightBack, ""I will be back""))"
updateAdd2People eyesOff	p1	What do I have with Damon?	"findEvents(with_(""Damon""))"
findEmails-8	p1	Pull up the emails that are due tomorrow that are set to high importance on focused tab	findEmails(messageWithDueDate(tomorrow) and messageImportanceIs(Importance.High) and messageInferenceClassificationIs(InferenceClassification.focused))
sendMailWithRecipientEmailEyesOff	p0	Send an email to dlax@thenextunicorn.com.	"createEmail(messageWithTo(""dlax@thenextunicorn.com""))"
d31annotator2_3	decomp	Find the event with Smith	findEvents(with_("Smith")).head
AfterAndRightAfterMultipleEvents	p0	What do I have right after Design jam	"findEvents(rightAfter(theEvent(called(""Design jam""))))"
QueryOnDate - change attendee	p1	what are my meetings with David tomorrow?	"findEvents(with_(""David"") and queryAt(tomorrow))"
BeforeAndRightBeforeMultipleEvents	p0	What do I have before walk	"findEvents(before(theEvent(called(""walk""))))"
basicFlagMail-2	p1	Flag that email for follow up.	flagEmail(messageIdIs(theEmail(that[Email]).id))
multipleEventsAttendees		Who is invited to the Vacation?	"theEvent(called(""Vacation"")).attendees.all"
basicForwardMail-3	p1	Forward the email.	forwardEmail(messageIdIs(theEmail0.id))
createWithSubjectWithAttendeeWithDateEyesOff	p0	Create a meeting called sync with David tomorrow	"createEvent((called(""sync"") and with_(""David"")) and createAt(tomorrow))"
lastMultipleEventsTodayStart		When does today's last event start at?	theEvent(last[Event] and queryAt(today)).start
BeforeAndRightBeforeNoEvent	p0	What do I have tomorrow right before walk	"findEvents(queryAt(tomorrow) and rightBefore(theEvent(called(""walk""))))"
d31annotator2_7	decomp	Set meeting time of event s4 with the start time as s2 and end time as s3	modifyEvent(s4, startsAt(s2) and endsAt(s3))
d2annotator1_2	decomp	Create one-on-one meetings with filtered reports in s2	s2.map(x => createEvent(with_(x) and isOneOnOne))
findFile-6	p2	find my recent file	findFile(isRecent)
DeleteAppointmentByTime	p3	Delete my 5 PM appointment	deleteEvent(theEvent(queryAt(5.pm)))
personAvailableDayTime	p3	Is Josh free for a meeting on Friday at 10 am?	"availabilityExcludingMe(with_(""Josh"") and createAt(10.am on Friday)).nonEmpty"
forwardMailWithRecipientMessage	p1	Forward this email to Bryan and say SM huddle	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Bryan"") and messageBodyIs(""SM huddle""))"
	p0	Schedule a meeting called brainstorm	"createEvent(called(""brainstorm""))"
multipleNthEvents		What time is my third meeting tomorrow?	theEvent(nth[Event](3) and queryAt(tomorrow)).start
basicReplyMail	p1	Reply to this email.	replyEmail(messageIdIs(theEmail(`this`[Email]).id))
	p0	Schedule a Birthday Dinner	"createEvent(called(""Birthday Dinner""))"
queryBySubject2	p0	Search for dentist appointments	"findEvents(called(""dentist appointments""))"
twoEventWithAttendeeEyesOff	p0	Show me appointments with John.	"findEvents(with_(""John""))"
findEmails-5	p1	I need to see the emails from last week that have attachments	findEmails(messageSentAt(last[Interval[Date]] and isWeek) and messageHasAttachments(true))
joinMeetingBySubject	p1	Join the product stand up	"joinEvent(theEvent(called(""product stand up"")))"
allDayEventInWeek	p0	What all day events do I have this week?	findEvents(isAllDay and queryAt(`this`[Interval[Date]] and isWeek))
queryBySubject2	p0	Show me Squad meetings on my schedule	"findEvents(called(""Squad meetings""))"
maxExample		Which meeting ends last today?	max(findEvents(queryAt(today)), ev => ev.end)
Create - change the start time	p0	Schedule a meeting for today at 2pm	createEvent(createAt(2.pm on today))
createWithAttendeeAndTimeInDay	p0	Find time with Abby in the afternoon	"createEvent(with_(""Abby"") and createAt(afternoon))"
createAllDayWithMonth	p3	Create an all day event sometime in May	createEvent(isAllDay and createAt(May))
d15annotator2_0	decomp	Create a list of days of the week	List[DayOfWeek](Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday)
	p0	Make a parent teacher conference next Wednesday at 4 pm	"createEvent(called(""parent teacher conference"") and createAt(4.pm on (next[Date] /& Wednesday)))"
eventByDayAndTimeOfDay	p0	What do I have December 26 during the evening?	findEvents(queryAt(evening on (December /& 26)))
callingPeopleNotFound	p1	Call Bryan and Rohan	"call(callWith(""Bryan"") and callWith(""Rohan""))"
deleteEventSubjectPerson	p3	Delete Q2 planning with David	"deleteEvent(theEvent(called(""Q2 planning"") and with_(""David"")))"
callManagerOneshot	p1	Call Julia's manager	"call(callWith(thePerson(""Julia"").manager))"
basicReplyMailWithMessage	p1	Reply to this email and say I am not so sure about this, can we chat soon?	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageBodyIs(""I am not so sure about this, can we chat soon?""))"
multipleEventsLocation3		Where is my meeting today located?	theEvent(queryAt(today)).location
	p0	Make a coffee talk with Kelly, Damon and John next monday at 8 am	"createEvent(((called(""coffee talk"") and with_(""Kelly"")) and with_(""Damon"") and with_(""John"")) and createAt(8.am on (next[Date] /& Monday)))"
	p2	Forward my bagel event to Jesse and conference room 10110	"forwardEvent(theEvent(called(""bagel"")), sendTo(""Jesse"") and sendTo(theConferenceRoom(""10110"")))"
replyMailToPersonWithBodyChangeSubject	p1	Reply to Julia saying Can't wait for it and change the subject to Party planning.	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Julia"") and messageBodyIs(""Can't wait for it"") and messageTitleIs(""Party planning""))"
createEvent - lunchTime	p1	Schedule a meeting at lunch time	createEvent(createAt(lunchTime))
createWithAttendee2EyesOff	p0	Create an event with Bryan, Abby and Jennifer	"createEvent((with_(""Bryan"") and with_(""Abby"")) and with_(""Jennifer""))"
findEmails-14	p1	Find my emails from yesterday	findEmails(messageSentAt(yesterday))
Query at date and time interval	p0	What do I have tomorrow in the afternoon?	findEvents(queryAt(afternoon on tomorrow))
basicDeleteMail-2	p1	Delete the email	deleteEmail(messageIdIs(theEmail0.id))
	p2	Can you show me who is tentative to the event on Tuesday at 8 am?	theEvent(startsAt(8.am on Tuesday)).attendees.withResponse(ResponseStatusType.tentativelyAccepted)
eventStartByTitleWeekend	p2	When's the soccer practice this weekend?	"theEvent(called(""soccer practice"") and queryAt(`this`[Interval[Date]] and isWeekend)).start"
PersonTeam2	p0	Who's on Jesse's team?	"thePerson(""Jesse"").team"
multipleEventsLocation1		Where is Planning taking place?	"theEvent(called(""Planning"")).location"
queryBySubjectRecurrentEvents	p0	What do I have called stand up?	"findEvents(called(""stand up""))"
createAttendeeDuration	p0	Set up an hour with Abby	"createEvent(lastsFor(1.hours) and with_(""Abby""))"
createEventAfterTime	p1	Schedule a meeting after 10 am.	createEvent(createAt(after(10.am)))
createDateTimePrivate	p3	Can you make an event today at 4 pm and make it private	createEvent(createAt(4.pm on today) and withSensitivity(Sensitivity.`private`))
PersonDirectReports	p0	Who are Jesse's direct reports?	"thePerson(""Jesse"").directReports"
callHimOnTeamsSalientHistoryOneshotTM	p1	Call him on teams	call(callWith(him) and channelIs(CallChannel.Teams))
setStatusDoNotDisturbSingle	p2	Set my status to do not disturb	setStatus(setStatusTo(UserStatus.DoNotDisturb))
onlineMeetingTollNumber	p2	What is the toll number for Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.tollNumbers"
sayPersonEmailAddress	p0	What's Abby's email address?	"thePerson(""Abby"").emailAddress"
createWithFractionalDuration0	p0	Schedule a 1 and 1/2 hour meeting.	createEvent(lastsFor((1 + 1/2).hours))
noEventWithTwoAttendees	p0	What do I have with Kelly and Abby?	"findEvents(with_(""Kelly"") and with_(""Abby""))"
FilterAllDayEvent	p0	Do I have any Peer Reviews?	"findEvents(called(""Peer Reviews"")).nonEmpty"
multipleEventsStart2		When is my meeting with Brad?	"theEvent(with_(""Brad"")).start"
d31annotator2_0	decomp	Find the event with Jane	findEvents(with_("Jane")).head
FenceCheckAvailability8	p3	Do you know if Kelly is available during that time?	"availabilityExcludingMe(with_(""Kelly"") and createAt(that[Interval[Instant]])).nonEmpty"
eventStartByPeople1	p2	When's my meeting with Brad?	"theEvent(with_(""Brad"")).start"
	p0	Schedule a brainstorm meeting with Bryan, Damon and Jennifer on November 12th 2017 at 9 am	"createEvent(((called(""brainstorm meeting"") and with_(""Bryan"")) and with_(""Damon"") and with_(""Jennifer"")) and createAt(9.am on ((November /& 12) /& yearIs(2017))))"
First turn refer using client context get date	p1	When is this meeting?	theEvent(`this`[Event]).start
eventResponse10	p2	Accept the planning and say I can't wait.	"respond(theEvent(called(""planning"")), withResponse(ResponseStatusType.accepted) and withComment(""I can't wait""))"
howLongNextMultipleEvents		How long until my next event	durationFromNow(theEvent(next[Event]).start)
QueryOnHolidayWeek	p0	What do I have in the week of Christmas?	findEvents(queryAt(theDate(Holiday.Christmas).weekInterval))
Create within interval in eyes off	p0	Schedule a meeting tomorrow morning	createEvent(createAt(morning on tomorrow))
eventFromEmail4 should not take title from context	p0	Create a meeting called planning with them.	"createEvent(called(""planning"") and with_(them))"
basicFlagMail	p1	Flag this email for follow up.	flagEmail(messageIdIs(theEmail(`this`[Email]).id))
joinMeetingByTimeNotFound	p1	Join my 4:30 pm	joinEvent(theEvent(queryAt((4 :: 30).pm)))
8 Create with date time in eyes off	p0	Make an event last Monday at 7 am	createEvent(createAt(7.am on (last[Date] /& Monday)))
sendMailWithSubject	p0	Send an email about happy hour update.	"createEmail(messageTitleIs(""happy hour update""))"
callingPersonNotFound	p1	Call Rohan	"call(callWith(""Rohan""))"
eventThisTimeOfDay	p0	What do I have this afternoon?	findEvents(queryAt(afternoon on `this`[Date]))
Create - change start by duration later	p0	Schedule jogging this evening	"createEvent(called(""jogging"") and createAt(evening on `this`[Date]))"
d67annotator1_1	decomp	Update each event in the list s1 to last only for 30 minutes	s1.map(x => modifyEvent(x, lastsFor(30.minutes)))
callPersonTeamOneshot	p1	Call Bryan's team	"call(callWith(thePerson(""Bryan"").communicationTeam))"
Query at time	p0	What do I have at 6 pm?	findEvents(queryAt(6.pm))
createEvent - military time	p1	Schedule the planning meeting at 1600 hours today	"createEvent(called(""planning meeting"") and createAt(hour24(16) :: 0 on today))"
createdExample		When was the off-site meeting created?	"theEvent(called(""off-site"")).created"
createInFirstHalf	p3	Add a meeting with Julia in the first half of June.	"createEvent(with_(""Julia"") and createAt(firstHalf(the(monthOf(June)))))"
Create for tomorrow explicitly - Change the start time	p0	Schedule a meeting for tomorrow at 2pm	createEvent(createAt(2.pm on tomorrow))
createSalientPersonEyesOff	p1	schedule a meeting with her	createEvent(with_(her.nameAndEmail.name.get))
findEmails-10	p1	Find the wedding planning emails from our organizer Lisa that talks about the venue change	"findEmails(messageTitleIs(""wedding planning"") and messageWithSender(""Lisa"") and messageBodyIs(""venue change""))"
3rd event on Monday	p0	What is my 3rd event on Monday?	theEvent(nth[Event](3) and queryAt(Monday))
createEvent - late morning	p1	Schedule a meeting late in the morning	createEvent(createAt(late(morning)))
d15annotator2_2	decomp	For each day in the list s2 create an event with the called "vacation time"	s2.map(x => createEvent(called("vacation time") and createAt(x /& (next[Interval[Date]] and isWeek))))
queryBySubject0	p0	What is on my schedule with subject focused time?	"findEvents(called(""focused time""))"
d3annotator2_1	decomp	Filter the list of events s1 to only contain events with 1 other attendee	s1.filter(x => x.attendees.all.size == 2)
checkAvailability10	p3	Am I free to have a 45 minute meeting right now?	availabilityIncludingMe(lastsFor(45.minutes) and createAt(now)).nonEmpty
Create - find another Time	p0	Schedule a call this afternoon	"createEvent(called(""call"") and createAt(afternoon on `this`[Date]))"
sayPersonOfficeLocationSelf	p0	What is my office location?	me.officeLocation
Query with datetime variations	p0	What do I have at 2pm on Sunday?	findEvents(queryAt(2.pm on Sunday))
Create after another event	p1	Schedule a walk after my coffee meeting	"createEvent(called(""walk"") and after(theEvent(called(""coffee meeting""))))"
callingPersonWorkNotFound	p1	Call Bryan on his work number	"call(callWithType(""Bryan"", ContactType.Business))"
createSalientManagerEyesOff	p2	When am I meeting Kelly next?	"theEvent(next[Event] and with_(""Kelly"")).start"
Create - change one attendee	p0	Create a meeting with David	"createEvent(with_(""David""))"
First turn refer using client context get status - person no conflict	p1	Is Kelly free then?	"availabilityExcludingMe(with_(""Kelly"") and createAt(that[Interval[Instant]])).nonEmpty"
multipleLastEventsStart		What time is my last meeting?	theEvent(last[Event]).start
queryBySubject0	p0	What do I have called Wine and Whine?	"findEvents(called(""Wine and Whine""))"
Create - clobber extend duration	p0	Schedule a meeting.	createEvent0
eventWithDateAndAttendee	p0	Do I have anything tomorrow with Kelly?	"findEvents(queryAt(tomorrow) and with_(""Kelly"")).nonEmpty"
createRecurringDaily	p3	Make a daily event starting next Wednesday.	createEvent(recurringDaily and startsAt(next[Date] /& Wednesday))
basicUnreadMail-2	p1	Mark that email unread.	unreadEmail(messageIdIs(theEmail(that[Email]).id))
	p2	Forward my bagel event to conference room 10110	"forwardEvent(theEvent(called(""bagel"")), sendTo(theConferenceRoom(""10110"")))"
firstMultipleEventsWithAttendee		What time does my first event with Kelly start on Friday?	"theEvent((nth[Event](1) and with_(""Kelly"")) and queryAt(Friday)).start"
d18annotator2_0	decomp	Find 1/1 meetings this month	findEvents(queryAt(`this`[Interval[Date]] and isMonth) and isOneOnOne)
3 Query by date today and yesterday	p0	Find events today.	findEvents(queryAt(today))
Create - set multiple - subject and duration	p0	create a meeting	createEvent0
setStatusAvailableWithMessage	p2	Set my status to available and say I'm available	"setStatus(setStatusToWithMessage(UserStatus.Available, ""I'm available""))"
query emails from exactly x weeks ago	p1	Find emails that arrived exactly two weeks ago	findEmails(messageSentAt(today -2.weeks))
create event and then clobber title with Use updater	p0	Find a time with Jenn	"createEvent(with_(""Jenn""))"
videoCallPersonOneshot	p1	Video call with Bryan	"call(modeIs(CallMode.Video) and callWith(""Bryan""))"
sendMailWithBody	p0	Send an email saying i will be late.	"createEmail(messageBodyIs(""i will be late""))"
createEvent - breakfastTime	p1	Schedule a meeting at breakfast time	createEvent(createAt(breakfastTime))
findEmails-15	p1	Find emails about vacations	"findEmails(messageBodyIs(""vacations""))"
eventAttendeesByTitle	p2	Who all are on the Vacation meet?	"theEvent(called(""Vacation"")).attendees.all"
eventStartByNextAndTitle	p2	When's the next Team meeting?	"theEvent(next[Event] and called(""Team meeting"")).start"
3 Create with date time in eyes off	p0	Make an event yesterday at 9 pm	createEvent(createAt(9.pm on yesterday))
personTimeZone	p0	What time zone is Damon in?	"thePerson(""Damon"").timeZone"
composeEmailForAttendeesWithMessage	p0	What do I have with Jesse and Kelly?	"findEvents(with_(""Jesse"") and with_(""Kelly""))"
sendMailWithSubjectAndBody	p0	Send an email about happy hour update saying I will be late.	"createEmail(messageTitleIs(""happy hour update"") and messageBodyIs(""I will be late""))"
Query - set the attendee	p1	what are my meetings?	findEvents0
	p0	Create a brunch with Jesse, Kim and Abby on 10/2/2017 at 10 am	"createEvent(((called(""brunch"") and with_(""Jesse"")) and with_(""Kim"")) and with_(""Abby"") and createAt(10.am on ((month(10) /& 2) /& yearIs(2017))))"
composeEmailForEventAttendees	p0	Email people who are invited to tomorrow's standup	"createEmail(messageWithTo(theEvent(queryAt(tomorrow) and called(""standup"")).attendees.all))"
eventStartLastAndPastNoMatch	p2	When did I last go to the dentist?	"theEvent(last[Event] and isPast and called(""dentist"")).start"
queryBySubject2	p0	What do I have on my schedule called team chat?	"findEvents(called(""team chat""))"
findChatMessages-3	p1	Find my chat messages about shiproom from yesterday	"findChatMessages(messageTitleIs(""shiproom"") and messageSentAt(yesterday))"
multipleFirstEventsStart		What time is my first meeting tomorrow?	theEvent(nth[Event](1) and queryAt(tomorrow)).start
salientMultipleEvents	p0	What is my next meeting?	theEvent(next[Event])
forwardMailWithRecipients	p1	Forward this email to Jen and Bryan	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Jen"") and messageWithTo(""Bryan""))"
eventResponse8	p2	Do I have any meetings tomorrow?	findEvents(queryAt(tomorrow)).nonEmpty
findEmails-12	p1	Search for flagged emails.	findEmails(messageFlagStatusIs(FlagStatus.flagged))
updateTimeIntervalInZone	p1	When is Coffee?	"theEvent(called(""coffee"")).start"
queryBySubject2	p0	Show me my meetings named Quick Syncs	"findEvents(called(""Quick Syncs""))"
Create with end and duration	p3	Create a 5 minute meeting that ends tomorrow at 1:30 pm	createEvent(lastsFor(5.minutes) and endsAt((1 :: 30).pm on tomorrow))
queryBySubjectEyesOff	p0	Show me meetings called Sync.	"findEvents(called(""Sync""))"
d16annotator2_1	decomp	Decline each meeting in the list s1	s1.map(x => respond(x, withResponse(ResponseStatusType.declined)))
createEventAfterTimeInterval	p1	Schedule a meeting after 2 pm to 3 pm	createEvent(createAt(after(timeInterval(2.pm, 3.pm))))
eventLocationByPeopleOneOnOne	p2	Where's my 1:1 with Abby?	"theEvent(isOneOnOne and with_(""Abby"")).location"
sayPersonNoJobTitle	p0	What is Damon's job title?	"thePerson(""Damon"").jobTitle"
findGeneral-3	p0	Search for the best philosophy books	"findGeneral(withQueryString(""the best philosophy books""))"
	p0	Make an event for 4 pm with Abby	"createEvent(createAt(4.pm) and with_(""Abby""))"
Create right before another event	p1	Schedule a 40 minute walk right before Pancake Party	"createEvent(lastsFor(40.minutes) and rightBefore(theEvent(called(""Pancake Party""))) and called(""walk""))"
queryBySubject1	p0	What's on my schedule with subject reading time?	"findEvents(called(""reading time""))"
QueryDateTimeEyesOff	p0	What do I have starting at 6 pm today?	findEvents(startsAt(6.pm on today))
noEventsNextMonth	p0	Do I have anything next month?	findEvents(queryAt(next[Interval[Date]] and isMonth)).nonEmpty
nextWeekEventWithAttendee	p0	Show me my meetings with David for next week	"findEvents(with_(""David"") and queryAt(next[Interval[Date]] and isWeek))"
findEmail-10	p1	Find the wedding planning email from our organizer Lisa	"theEmail(messageTitleIs(""wedding planning"") and messageWithSender(""Lisa""))"
	p0	Schedule brainstorm with Bryan, Damon and Jennifer on November 12th 2017 at 9 am	"createEvent(((called(""brainstorm"") and with_(""Bryan"")) and with_(""Damon"") and with_(""Jennifer"")) and createAt(9.am on ((November /& 12) /& yearIs(2017))))"
durationMultipleNextEvents		How long is my next meeting?	theEvent(next[Event]).duration
d16annotator2_2	decomp	Create a meeting at 3 pm mountain time	createEvent(createAt(3.pm inZone TimeZone("MST")))
createEventFromCalendar all day	p1	Create an all day event	createEvent(isAllDay)
Binary query with attendee and timespan 2	p0	Am I meeting with Kim this week?	"findEvents(with_(""Kim"") and queryAt(`this`[Interval[Date]] and isWeek)).nonEmpty"
setStatusBeRightBackSingle	p2	Set my status to be right back	setStatus(setStatusTo(UserStatus.BeRightBack))
checkAvailability7	p3	Am I free on the 25th for a meeting?	availabilityIncludingMe(createAt(25)).nonEmpty
Create with end and attendee	p3	Make an event that ends at 4:30 pm with Bryan	"createEvent(endsAt((4 :: 30).pm) and with_(""Bryan""))"
createWithAttendee3EyesOff	p1	Make an event with Bryan, Abby, Jennifer and Jesse	"createEvent(((with_(""Bryan"") and with_(""Abby"")) and with_(""Jennifer"")) and with_(""Jesse""))"
basicArchiveMail-3	p1	Archive the email.	archiveEmail(messageIdIs(theEmail0.id))
eventThisTimeOfDay	p0	What do I have today during the morning?	findEvents(queryAt(morning on today))
findPersonEmptyTitle	p0	Who is Damon?	"thePerson(""Damon"")"
query nth DOW	p0	What do I have on my schedule on the 3rd Monday of February	findEvents(queryAt(nth[Date](3) /& Monday /& (monthOf(February))))
BooleanQueryByTime	p0	Do I have any meetings at 9 pm?	findEvents(queryAt(9.pm)).nonEmpty
eventLocationByTime	p2	Where's my 5 o'clock?	theEvent(queryAt(5.oclock)).location
composeEmailForNextEvent	p0	What is my next event?	theEvent(next[Event])
findGeneral-1	p0	What is semantic machines?	"findGeneral(withQueryString(""semantic machines""))"
basicSendMail	p0	Send an email.	createEmail0
callOnTMPersonMultiTurn	p1	Make a call	call0
salientPeopleEyesOff	p1	I need to make an event with those people.	createEvent(with_(them))
Create with duration in eyes off	p0	Schedule a 20 minute meeting	createEvent(lastsFor(20.minutes))
createEventBeforeDate	p0	Schedule a meeting before August 9.	createEvent(createAt(before(August /& 9)))
checkAvailability with salient event date and 2 people - free	p3	What is their availability on that day at 2 pm?	availabilityExcludingMe(with_(theEvent(that[Event]).attendees.otherPeople) and startsAt(2.pm on theDate(that[Date])))
01 - create event and then clobber subject - unspecified	p0	Schedule a meeting called coffee	"createEvent(called(""coffee""))"
createBlockingTimeInterval	p1	Block off this afternoon.	createEvent(blocking(afternoon on `this`[Date]))
createRecurringWeekly	p3	Make a weekly event tomorrow at noon.	createEvent(recurringWeekly and createAt(noon on tomorrow))
queryBySubject0	p0	Search for appointments by the name of Breakfast.	"findEvents(called(""Breakfast""))"
CreateEventBeforeTheEndOfBusinessHours	p3	Create a meeting before the end of business tomorrow.	createEvent(createAt(before(businessHours.upper) on tomorrow))
doNotConfirmCreate	p0	Create a meeting.	createEvent0
2 Query by date and yesterday	p0	What do I have on March 21st?	findEvents(queryAt(March /& 21))
createWithTimeEyesOff	p0	Create an event for 4 pm	createEvent(createAt(4.pm))
Create after another event in eyes off	p1	Schedule a walk after my lunch meeting	"createEvent(after(theEvent(called(""lunch""))) and called(""walk""))"
findEmails-4	p1	Find emails from last week	findEmails(messageSentAt(last[Interval[Date]] and isWeek))
createApptWithSubjectAndExactDate	p0	Schedule tax prep for February 10th	"createEvent(called(""tax prep"") and createAt(10 /& February))"
findEmails-6	p1	I need to see the focused emails from this week	findEmails(messageInferenceClassificationIs(InferenceClassification.focused) and messageSentAt(thisWeek))
mutipleEventsStart1		When is Planning?	"theEvent(called(""Planning"")).start"
callingPersonMobileNotFound	p1	Call Bryan on his mobile number	"call(callWithType(""Bryan"", ContactType.Mobile))"
sayPersonManager	p0	Who is Damon's manager?	"thePerson(""Damon"").manager"
multipleEventsRightNowEyesOff	p0	What do I have right now?	findEvents(queryAt(now))
createSubjectDateStatusOOF	p3	"Make an event called ""out of office all day"" for Tuesday and make it out of office"	"createEvent((called(""out of office all day"") and isAllDay) and createAt(Tuesday) and withStatus(FreeBusyStatus.oof))"
Create - clobber attendee and title	p0	Create a meeting called coffee with David	"createEvent((called(""coffee"") and with_(""David"")))"
	p0	I need to schedule a planning meeting tomorrow at 2 with Abby and Bryan	"createEvent((called(""planning meeting"") and createAt(2.oclock on tomorrow)) and with_(""Abby"") and with_(""Bryan""))"
findEmails-3	p1	Find my shiproom emails from yesterday	"findEmails(messageTitleIs(""shiproom"") and messageSentAt(yesterday))"
1 Query by dayofweek and date	p0	What do I have on Tuesday?	findEvents(queryAt(Tuesday))
createEvent - dinnerTime	p1	Schedule a meeting at dinner time	createEvent(createAt(dinnerTime))
	p0	Create an event with my manager	createEvent(with_(me.manager))
eventThisTimeOfDay	p0	What do I have today during the evening?	findEvents(queryAt(evening on today))
eventWithNoConstraint	p0	What's on the schedule?	findEvents0
sayPersonEmptyOfficeLocation	p0	Where is Kim's office	"thePerson(""Kim"").officeLocation"
forwardMailToEventAttendeesAddRecipient	p1	Forward this email to the attendees in the event Standup and also to Bryan	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(theEvent(called(""Standup"")).attendees.all) and messageWithTo(""Bryan""))"
First turn refer using client context get subject	p1	What is the name of this meeting?	theEvent(`this`[Event]).subject.get
